date,anz,cba,mqg,nab,wbc,banks,areit,asx,audusd,comm,dspread,tspread,bills,ivol
20030108,2.090116862,2.848385337,10.52341995,2.882570671,2.892992612,2.593510036,2.005255792,2.225702885,1.315923893,-0.19077191,-1,3,2,25.13
20030115,-0.530818115,-0.577798711,1.20675463,-0.712041912,0.518471477,-0.51748683,-0.861506084,0.075395911,2.257743466,-0.045414669,-3,10,1,24.57
20030122,0.320469687,-2.084980789,-1.568786469,-0.46957142,0.445932629,-0.54372495,-0.003858671,-1.675701627,0.526898474,1.189067872,1,-6.5,-4,27.59
20030129,-1.624247253,-4.925995854,-2.573690436,-2.204518272,-2.679925681,-2.797156814,-1.281613942,-2.48019891,-0.186646359,0.847775404,-8,-8,2,31.93
20030205,-2.357790121,1.541309316,0.306860765,-0.324299481,-1.503618958,-0.542716444,0.160627776,-1.101231309,0.677050657,1.187677213,-1,-1,-2,32.76
20030212,-2.841597411,-0.921677195,-5.960123886,-3.644112548,-1.15441671,-2.246510266,-1.530332977,-1.073070542,-0.067499159,0.756300424,4,13.5,-6,33.68
20030219,-1.24783529,-3.606248838,4.920935821,-2.452218238,-3.295528509,-2.687368419,0.709580323,-0.508557921,-0.338180911,-0.152041623,-2,-1,3,31.11
20030226,1.32631266,2.357962777,0.585871504,0.537155603,6.639682206,2.00348576,-0.995540472,-1.268679332,2.343595711,0.315045818,-5,-8,1,31.74
20030305,-0.267335453,-0.806690939,-1.763751404,-2.888980486,0.741553796,-1.060212392,0.316934285,-1.450836604,2.079485493,-3.248991914,1,-16,-1,31.83
20030312,0.466179582,-4.939423644,-8.108922818,-0.251141673,0.73730644,-1.062794781,-0.163520041,-1.983012666,-1.96373517,3.25906861,0,8.5,1,33.61
20030319,5.555214001,5.827328935,7.773792561,7.115604091,4.062600257,5.749430544,0.655297517,4.879161236,-2.053665965,-5.271642095,-1,39.5,-1,30.43
20030326,2.827631844,2.61486055,-0.089843422,4.490507449,3.117131029,3.115912534,3.030491398,1.683098505,0.672497491,-3.959955734,-5,-3.5,3,28.75
20030402,1.541133489,2.510280872,-3.559513224,0.98822829,0.814243721,1.484249525,-2.453131813,-0.246824794,1.116399165,-0.504463147,7,-7,0,28.36
20030409,0.033776789,0.11378723,3.055323096,1.315060514,0.349648267,0.509881383,2.06839347,2.358994413,-0.082884381,0.385322253,3,-5,1,27.13
20030416,2.011094364,2.55815972,5.433435096,-1.451094232,2.227728647,0.801566177,0.527072286,1.025499143,0.924404074,-0.193702682,-3,5,1,22.56
20030423,1.972856398,1.912533061,1.033590459,2.11325952,3.554682277,2.261679176,1.127562774,0.842749824,1.936436718,-0.760859623,2,-3,1,20.7
20030430,-0.444593081,-0.841964379,-3.916587374,-1.167344902,-1.289708817,-0.958662164,-0.355265464,0.084617014,0.402091414,-2.396857907,1,-9.5,-1,20.76
20030507,-0.876286245,0.403665306,2.319154767,-1.243690661,0.648785807,-0.245620777,1.026334958,-1.034488788,3.019753601,-0.45232576,-1,-11,-3,20.8
20030514,0.040024206,-0.219872045,4.00579561,-1.386625013,-1.806243029,-0.725170283,1.772259823,-0.163022282,0.481629145,3.638263861,4,-4.5,1,19.91
20030521,-2.428703065,-1.552791233,1.701736907,1.037128889,-0.23305381,-0.143303902,0.483106795,-0.785384523,2.085965205,-1.232325569,6,-19.5,-1,21.29
20030528,2.725810272,3.225478982,2.14407417,2.721650864,4.764525685,3.135379241,1.696562584,2.234795454,-0.304044017,-1.39830932,-1,1,1,19.99
20030604,2.074936237,3.716438584,1.14121234,2.948931415,2.312334438,2.679991602,0.386793083,0.829576737,0.59203209,-0.500857554,1,-4.5,0,20.84
20030611,1.670425371,3.684353551,3.779372702,0.237477314,-2.698279914,2.027722081,-2.41306671,1.652650706,-0.531149287,1.489289429,3,-10,-13,20.64
20030618,0.038331965,0.667479832,0.268292185,1.148831589,1.119150915,0.782873409,2.953012921,0.691583813,1.943856882,-4.327090717,-1,14.5,-2,20.01
20030625,-3.200802577,1.189927902,-0.627741658,0.671937142,0.201980808,-0.09447067,-2.056486782,-0.622178886,-0.884364604,0.850230213,-1,-1.5,-2,20.75
20030702,0.416658434,-1.356648043,-0.146679369,-1.468329855,0.505331729,-0.826958936,-1.875488287,-1.107797231,2.100635901,-2.642491782,-4,22.5,11,19.46
