date,cba,cbaw,cbad,cbadiv,wbc,wbcw,wbcd,wbcdiv,anz,anzw,anzd,anzdiv,nab,nabw,nabd,nabdiv,mqg,mqgw,mqgd,mqgdiv,ben,benw,bend,bendiv,boq,boqw,boqd,boqdiv,aba,abaw,abad,abadiv,mkt
20000315,1.759071521,21104316815,1.99E+11,0,1.199939042,20007933462,1.59E+11,0,2.171026905,15838104611,1.63E+11,0,1.160536549,29511722573,3.24E+11,0,0.389163109,4337225895,22476758000,0,-4.210935981,416483727.8,4613436000,0,0.387124482,280761118,3500202000,0,-2.900909998,66440483.2,884779000,0,-0.599844584
20000316,-0.885228276,20918484241,1.99E+11,0,0.548830228,20118079387,1.59E+11,0,0.892417672,15980050544,1.63E+11,0,1.432094092,29937440666,3.24E+11,0,1.346905268,4403341958,22476758000,0,3.488796589,431281240.6,4613436000,0,-0.194292269,280215552.1,3500202000,0,-2.682987313,64682434.7,884779000,0,0.385015944
20000317,-1.308801643,20646549542,1.99E+11,0,-0.548830228,20007933462,1.59E+11,0,-0.61261179,15882482043,1.63E+11,0,-1.287988156,29554309325,3.24E+11,0,3.269367221,4549670843,22476758000,0,0.183011788,432054245,4613436000,0,0.773093743,282386083.1,3500202000,0,0,64682434.7,884779000,0,0.908682297
20000320,-0.043600075,20637524162,1.99E+11,0,-2.508385285,19512276797,1.59E+11,0,-0.616572707,15784913542,1.63E+11,0,0.12956283,29592562688,3.24E+11,0,2.48904404,4664340225,22476758000,0,0,432054245,4613436000,0,-0.965925956,279669986.2,3500202000,0,0,64682434.7,884779000,0,1.230333258
20000321,-1.400421374,20350246316,1.99E+11,0,-0.945133415,19328761857,1.59E+11,0,-0.225019433,15749349746,1.63E+11,0,1.819644587,30136029414,3.24E+11,0,-1.894364116,4576775760,22476758000,0,-3.671808377,416483727.8,4613436000,0,0.581039989,281300817.6,3500202000,0,2.094904452,66049587.5,884779000,0,0.348479462
20000322,-0.044234377,20341311190,1.99E+11,0,0.4736833,19420611731,1.59E+11,0,1.398683377,15971236908,1.63E+11,0,2.464600592,30887947085,3.24E+11,0,-2.53283119,4462277603,22476758000,0,0,416483727.8,4613436000,0,1.341570983,285102180,3500202000,0,0,66859950,884779000,0,0.846036491
20000323,-0.487873956,20242573533,1.99E+11,0,-2.488397133,18943251117,1.59E+11,0,-0.185413467,15941703495,1.63E+11,0,0.13783245,30930533837,3.24E+11,0,-0.770301828,4428083970,22476758000,0,-0.375948058,414929831.2,4613436000,0,-1.922610972,279669986.2,3500202000,0,-0.298271999,66663098.4,884779000,0,-0.843406106
20000324,0.350130629,20313422766,1.99E+11,0,2.204274391,19216185857,1.59E+11,0,0.092749706,15956392889,1.63E+11,0,0.480496386,31079512755,3.24E+11,0,-0.560914127,4403341958,22476758000,0,-2.277392465,405590676,4613436000,0,-0.584435804,278045021.1,3500202000,0,0,66663098.4,884779000,0,0.10253108
20000327,0.41919857,20419573792,1.99E+11,0,-1.23031966,18981088467,1.59E+11,0,0.277551735,16000770321,1.63E+11,0,-2.566304006,30292180838,3.24E+11,0,-0.575347132,4378086270,22476758000,0,-0.381825588,404028891.6,4613436000,0,0.777268017,280215552.1,3500202000,0,0,66663098.4,884779000,0,-0.645856585
20000328,0.114319323,20442973431,1.99E+11,0,-0.201606926,18942944740,1.59E+11,0,0.092407046,16015614340,1.63E+11,0,0.004668459,30293525683,3.24E+11,0,2.047990197,4468664295,22476758000,0,-0.776620076,400921098.4,4613436000,0,-0.973459015,277499455.2,3500202000,0,0,66663098.4,884779000,0,0.091860445
20000329,-0.220590127,20398071420,1.99E+11,0,0.956892323,19125044357,1.59E+11,0,-1.160810513,15830682601,1.63E+11,0,0.876568556,30564179942,3.24E+11,0,-1.11025899,4419334373,22476758000,0,-1.562869094,394689736.4,4613436000,0,0.780626801,279669986.2,3500202000,0,0.886354861,67255641.6,884779000,0,-0.132861398
20000330,-0.193211463,20358499828,1.99E+11,0,0.853534302,19288989027,1.59E+11,0,-1.136781338,15651781245,1.63E+11,0,-0.975090085,30267678285,3.24E+11,0,1.344058558,4479109020,22476758000,0,0,394689736.4,4613436000,0,0.965925956,282386083.1,3500202000,0,-0.886354861,66663098.4,884779000,0,-0.951698229
20000331,-0.512669959,20254240429,1.99E+11,0,-2.650278618,18784501569,1.59E+11,0,-1.7537711,15379640893,1.63E+11,0,-0.705616845,30054717165,3.24E+11,0,-0.754086346,4445429063,22476758000,0,-0.117552313,394224356.2,4613436000,0,0.956685016,285102180,3500202000,0,0,66663098.4,884779000,0,-1.923246407
20000403,2.028639134,20669380758,1.99E+11,0,1.128066531,18997592964,1.59E+11,0,0.86154751,15512773190,1.63E+11,0,3.114339358,31005495162,3.24E+11,0,-0.838130714,4408393095,26731220000,0,0.707575717,397024525.2,4613436000,0,-0.191328891,284562480.4,3500202000,0,-0.593334095,66267406.8,884779000,0,1.831987908
20000404,2.820405944,21260695983,1.99E+11,0,3.984659207,19769820040,1.59E+11,0,4.291730009,16193124070,1.63E+11,0,2.798031121,31885286118,3.24E+11,0,0.268252497,4420173375,26731220000,0,2.038090755,397024525.2,4613436000,8282190,-0.189885493,284016914.5,3500202000,0,2.943523301,68245864.8,884779000,0,-0.441969685
20000405,2.585636472,21817770035,1.99E+11,0,3.137956456,20400108442,1.59E+11,0,1.765244422,16481345443,1.63E+11,0,3.412452162,32992086157,3.24E+11,0,-0.573144452,4394917688,26731220000,0,1.167189064,401694102.8,4613436000,0,0.951221412,286733011.4,3500202000,0,-2.943523301,66267406.8,884779000,0,-0.676100848
20000406,-0.82619715,21638071642,1.99E+11,0,-0.896816776,20217825442,1.59E+11,0,-1.765244422,16193124070,1.63E+11,0,0,32992086157,3.24E+11,0,1.521882335,4462277603,26731220000,0,0,401694102.8,4613436000,0,-1.14328177,283471348.6,3500202000,0,0,66267406.8,884779000,0,0.059730902
20000407,-1.295968101,21359534616,1.99E+11,0,-1.818128699,19853626208,1.59E+11,0,0,16193124070,1.63E+11,0,-2.61455374,32140690016,3.24E+11,0,-0.228030075,4452175328,26731220000,0,-2.747810634,390801051,4613436000,0,-0.190612832,282931649,3500202000,0,1.479688956,67255641.6,884779000,0,0.784264446
20000410,-1.355729052,21071962980,1.99E+11,0,-0.266491517,19800811818,1.59E+11,0,0.909195822,16340945761,1.63E+11,0,2.274092131,32880001357,3.24E+11,0,-0.872629196,4413444233,26731220000,0,-0.600317076,388458374.4,4613436000,0,0.572558684,284562480.4,3500202000,0,0,67255641.6,884779000,0,0.61070361
